"time","geo","unit","statinfo","hhcomp","hhcomp_label","statinfo_label","unit_label","value","flag"
2000,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",7582,
2001,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",7514,
2003,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",8740,"b"
2004,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",8803,
2005,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",9655,
2006,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",10087,
2007,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",10430,
2008,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",11652,
2009,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",11758,
2010,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",11938,
2011,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",11105,
2012,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",10086,
2013,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",9305,
2014,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",8680,
2015,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",8486,
2016,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",8554,
2017,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",8384,
2018,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",8687,
2019,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",8816,
2020,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",9159,
2021,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",8954,
2022,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",9569,
2023,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",10374,
2024,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",10920,
2025,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",11544,
1995,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",7062,
1996,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",7826,
1997,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",8125,
1998,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",8244,
1999,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",8639,
2000,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",9980,
2001,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",9592,
2003,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",10900,"b"
2004,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",10251,
2005,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",11022,
2006,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",11431,
2007,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",11712,
2008,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",12981,
2009,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",12913,
2010,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",12572,
2011,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",11754,
2012,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",10669,
2013,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",10055,
2014,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",9804,
2015,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",9933,
2016,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",10319,
2017,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",9967,
2018,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",10213,
2019,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",10505,
2020,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",10613,
2021,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",10146,
2022,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",10896,
2023,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",11756,
2024,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",12516,
2025,"EL","PPS","MEAN_EI","A1","One adult","Mean equivalised income","Purchasing power standard (PPS)",13431,
1995,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",4289,
1996,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",4746,
1997,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",5040,
1998,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",5043,
1999,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",5080,
2000,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",5758,
2001,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",5804,
2003,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",7000,"b"
2004,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",7430,
2005,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",8150,
2006,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",8700,
2007,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",8700,
2008,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",9600,
2009,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",9836,
2010,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",10000,
2011,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",9130,
2012,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",9050,
2013,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",8400,
2014,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",7730,
2015,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",7440,
2016,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",7420,
2017,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",7355,
2018,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",7406,
2019,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",7650,
2020,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",8064,
2021,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",8084,
2022,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",8820,
2023,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",9340,
2024,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",9800,
2025,"EL","EUR","MED_EI","A1","One adult","Median equivalised income","Euro",10330,
1995,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",3669,
1996,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",4271,
1997,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",4574,
1998,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",4634,
1999,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",4990,
2000,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",5572,
2001,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",5804,
2003,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",7000,"b"
2004,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",7430,
2005,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",8150,
2006,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",8700,
2007,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",8700,
2008,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",9600,
2009,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",9836,
2010,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",10000,
2011,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",9130,
2012,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",9050,
2013,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",8400,
2014,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",7730,
2015,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",7440,
2016,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",7420,
2017,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",7355,
2018,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",7406,
2019,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",7650,
2020,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",8064,
2021,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",8084,
2022,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",8820,
2023,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",9340,
2024,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",9800,
2025,"EL","NAC","MED_EI","A1","One adult","Median equivalised income","National currency",10330,
1995,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",5520,
1996,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",6080,
1997,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",6258,
1998,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",6091,
1999,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",6337,
2000,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",7335,
2001,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",7408,
2003,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",8729,"b"
2004,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",8652,
2005,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",9304,
2006,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",9858,
2007,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",9770,
2008,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",10695,
2009,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",10803,
2010,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",10532,
2011,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",9664,
2012,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",9573,
2013,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",9077,
2014,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",8731,
2015,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",8708,
2016,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",8951,
2017,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",8744,
2018,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",8707,
2019,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",9115,
2020,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",9344,
2021,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",9160,
2022,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",10044,
2023,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",10584,
2024,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",11233,
2025,"EL","PPS","MED_EI","A1","One adult","Median equivalised income","Purchasing power standard (PPS)",12018,
1995,"EL","EUR","MEAN_EI","A1_DCH","One adult with dependent children","Mean equivalised income","Euro",5523,
1996,"EL","EUR","MEAN_EI","A1_DCH","One adult with dependent children","Mean equivalised income","Euro",5756,
1997,"EL","EUR","MEAN_EI","A1_DCH","One adult with dependent children","Mean equivalised income","Euro",7099,
1998,"EL","EUR","MEAN_EI","A1_DCH","One adult with dependent children","Mean equivalised income","Euro",7541,
1999,"EL","EUR","MEAN_EI","A1_DCH","One adult with dependent children","Mean equivalised income","Euro",6814,"u"
2000,"EL","EUR","MEAN_EI","A1_DCH","One adult with dependent children","Mean equivalised income","Euro",6599,"u"
2001,"EL","EUR","MEAN_EI","A1_DCH","One adult with dependent children","Mean equivalised income","Euro",6603,
2003,"EL","EUR","MEAN_EI","A1_DCH","One adult with dependent children","Mean equivalised income","Euro",7396,"b"
2004,"EL","EUR","MEAN_EI","A1_DCH","One adult with dependent children","Mean equivalised income","Euro",7862,
2005,"EL","EUR","MEAN_EI","A1_DCH","One adult with dependent children","Mean equivalised income","Euro",7737,
2006,"EL","EUR","MEAN_EI","A1_DCH","One adult with dependent children","Mean equivalised income","Euro",9494,
2007,"EL","EUR","MEAN_EI","A1_DCH","One adult with dependent children","Mean equivalised income","Euro",10240,
2008,"EL","EUR","MEAN_EI","A1_DCH","One adult with dependent children","Mean equivalised income","Euro",11275,
2009,"EL","EUR","MEAN_EI","A1_DCH","One adult with dependent children","Mean equivalised income","Euro",10408,
2010,"EL","EUR","MEAN_EI","A1_DCH","One adult with dependent children","Mean equivalised income","Euro",10669,
2011,"EL","EUR","MEAN_EI","A1_DCH","One adult with dependent children","Mean equivalised income","Euro",8256,
