"time","geo","unit","statinfo","hhcomp","hhcomp_label","statinfo_label","unit_label","value","flag"
2006,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",10087,
2007,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",10430,
2008,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",11652,
2009,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",11758,
2010,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",11938,
2011,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",11105,
2012,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",10086,
2013,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",9305,
2014,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",8680,
2015,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",8486,
2016,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",8554,
2017,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",8384,
2018,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",8687,
2019,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",8816,
2020,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",9159,
2021,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",8954,
2022,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",9569,
2023,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",10374,
2024,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",10920,
2025,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",11544,
1995,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",4694,
1996,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",5497,
1997,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",5939,
1998,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",6271,
1999,"EL","NAC","MEAN_EI","A1","One adult","Mean equivalised income","National currency",6802,
