"time","geo","unit","hhcomp","rskpovth","statinfo","statinfo_label","rskpovth_label","hhcomp_label","unit_label","value","flag"
2014,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",9.1,
2015,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",8.5,
2016,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",8.7,
2017,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",8.2,
2018,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",6.5,
2019,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",6.8,
2020,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",5.8,
2021,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",7.4,
2022,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",7,
2023,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",6.5,
2024,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",7,
2025,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",6.5,
2015,"EL","THS_PER","A2_DCH1","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults with one dependent child","Thousand persons",148,
