"time","geo","unit","statinfo","sex","age","age_label","sex_label","statinfo_label","unit_label","value","flag"
2003,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",12289,"b"
2004,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",12077,
2005,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",12950,
2006,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",13398,
2007,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",13801,
2008,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",14413,
2009,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",15046,
2010,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",14908,
2011,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",13599,
2012,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",11490,
2013,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",10276,
2014,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",10112,
2015,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",10270,
2016,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",10588,
2017,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",10570,
